"runNum","Variable","Value","Tmax","Precip","trait"
7,"LCE/NEE",-1.03291334701398,12,175,"Val1"
7,"Cwmin",9808.16822752483,12,175,"Val1"
7,"Cs4",3718.65542819344,12,175,"Val1"
7,"Ds1",363.766612903216,12,175,"Val1"
7,"Ds3",163.776627931239,12,175,"Val1"
7,"Ds4",135.730923129061,12,175,"Val1"
7,"Ls1",145.506645161286,12,175,"Val1"
7,"Ls3",0.0163776627931239,12,175,"Val1"
7,"Cs2",88.7878059625335,12,175,"Val1"
8,"Cw",11066.915209281,12,200,"Val1"
8,"Cr",905.239468747815,12,200,"Val1"
8,"Cl",48.4150684931507,12,200,"Val1"
8,"Ccwd",15.160163219671,12,200,"Val1"
8,"Cs1",2.97338396396373,12,200,"Val1"
8,"Cs3",348.307704938224,12,200,"Val1"
8,"Cdoc1",4.52302709958384,12,200,"Val1"
8,"Cdoc2",2.01459249912556,12,200,"Val1"
8,"W1",8.97854261694501,12,200,"Val1"
8,"W2",10.940583126833,12,200,"Val1"
8,"Ca",2780236.28748285,12,200,"Val1"
8,"Ra",289.11895924226,12,200,"Val1"
8,"Rr",0,12,200,"Val1"
8,"Rs1",146.462126931195,12,200,"Val1"
8,"Rs3",33.9816165851404,12,200,"Val1"
8,"LCT1",57.071175128278,12,200,"Val1"
8,"LCT2",7.61702256164511,12,200,"Val1"
8,"SumLdoc",64.6881976899231,12,200,"Val1"
8,"Rhdoc",77.6872776043755,12,200,"Val1"
8,"Rhdoc2",33.1860943969188,12,200,"Val1"
8,"SumRSoil",661.90049976188,12,200,"Val1"
8,"Q2",43.3662568258808,12,200,"Val1"
8,"Q1",111.544379089448,12,200,"Val1"
8,"GPP",1022.72200221268,12,200,"Val1"
8,"T",45.093364084671,12,200,"Val1"
8,"SumD",154.910635915329,12,200,"Val1"
8,"NPP",724.579608944134,12,200,"Val1"
8,"NEE",-62.6791091822538,12,200,"Val1"
8,"LCE/NEE",-1.03205355873561,12,200,"Val1"
8,"Cwmin",11041.698890049,12,200,"Val1"
8,"Cs4",3944.67757149933,12,200,"Val1"
8,"Ds1",401.555504333301,12,200,"Val1"
8,"Ds3",177.985237223432,12,200,"Val1"
8,"Ds4",143.980731359726,12,200,"Val1"
8,"Ls1",160.622201733321,12,200,"Val1"
8,"Ls3",0.0177985237223432,12,200,"Val1"
8,"Cs2",98.3373734191004,12,200,"Val1"
9,"Cw",10942.216652349,12,225,"Val1"
9,"Cr",895.042466337526,12,225,"Val1"
9,"Cl",48.4150684931507,12,225,"Val1"
9,"Ccwd",14.9893431500868,12,225,"Val1"
9,"Cs1",2.94513923936463,12,225,"Val1"
9,"Cs3",342.960981433149,12,225,"Val1"
9,"Cdoc1",4.14112556657154,12,225,"Val1"
9,"Cdoc2",1.84446553257556,12,225,"Val1"
9,"W1",8.97016853562001,12,225,"Val1"
9,"W2",10.8302508786028,12,225,"Val1"
9,"Ca",2951239.30468595,12,225,"Val1"
9,"Ra",287.869017544729,12,225,"Val1"
9,"Rr",0,12,225,"Val1"
9,"Rs1",146.187897477926,12,225,"Val1"
9,"Rs3",33.1064713462628,12,225,"Val1"
9,"LCT1",65.3080785519978,12,225,"Val1"
9,"LCT2",6.92703626590134,12,225,"Val1"
9,"SumLdoc",72.2351148178992,12,225,"Val1"
9,"Rhdoc",71.6376812821866,12,225,"Val1"
9,"Rhdoc2",30.2860320142345,12,225,"Val1"
9,"SumRSoil",647.622838713219,12,225,"Val1"
9,"Q2",42.5922027097436,12,225,"Val1"
9,"Q1",138.038986174495,12,225,"Val1"
9,"GPP",1014.4000176521,12,225,"Val1"
9,"T",44.3698111157614,12,225,"Val1"
